county,pop_2023,felExp_2023,misdExp_2023,totalExp_2023,pop_2022,felExp_2022,misdExp_2022,totalExp_2022,pop_2021,felExp_2021,misdExp_2021,totalExp_2021,pop_2020,felExp_2020,misdExp_2020,totalExp_2020,pop_2019,felExp_2019,misdExp_2019,totalExp_2019
Hardeman,"3,449","$39,695","$4,450","$69,036","3,477","$33,361","$1,950","$38,416","3,873","$5,600","$3,540","$12,128","3,873","$16,031","$5,950","$28,145","3,761","$38,839","$8,534","$57,335"
Hardin,"58,345","$335,708","$43,725","$428,519","57,061","$277,373","$61,815","$382,024","59,592","$199,382","$37,375","$276,393","59,592","$272,885","$40,725","$354,312","58,370","$281,247","$64,385","$408,014"
Harris,"4,845,463","$58,683,160","$14,867,650","$113,513,803","4,759,954","$48,541,286","$8,569,235","$96,951,404","4,703,708","$34,057,364","$6,354,429","$69,252,850","4,703,708","$30,918,307","$5,023,460","$58,306,775","4,714,391","$31,355,232","$5,473,856","$55,299,196"
Harrison,"69,907","$406,449","$147,090","$632,159","69,219","$284,875","$139,377","$503,106","68,703","$189,336","$162,750","$382,481","68,703","$235,861","$151,624","$430,628","68,682","$330,618","$214,212","$623,566"
Hartley,"5,330","$22,616","$16,930","$45,001","5,331","$33,575","$17,906","$52,582","5,887","$35,748","$14,133","$64,544","5,887","$150,718","$13,302","$185,130","5,647","$36,481","$15,896","$58,645"
Haskell,"5,447","$73,061","$17,445","$92,304","5,369","$31,971","$7,000","$40,461","5,572","$29,019","$9,088","$38,107","5,572","$25,124","$10,250","$41,476","5,764","$30,324","$17,035","$51,861"
Hays,"279,579","$2,536,253","$1,273,592","$5,231,751","264,252","$2,127,505","$1,034,057","$3,226,257","232,080","$899,193","$686,920","$1,715,447","232,080","$1,079,989","$224,384","$1,449,018","226,853","$1,188,961","$194,073","$1,512,805"
Hemphill,"3,321","$5,401","$5,850","$12,251","3,203","$7,450","$8,450","$16,900","3,827","$8,250","$2,250","$12,000","3,827","$8,350","$4,952","$15,302","3,779","$12,750","$19,000","$32,750"
Henderson,"83,489","$628,429","$108,300","$788,477","84,692","$637,008","$118,593","$801,180","83,220","$619,987","$136,202","$797,241","83,220","$634,804","$119,723","$813,147","82,422","$550,906","$116,775","$691,474"
Hidalgo,"893,365","$4,576,603","$2,040,143","$8,704,397","884,299","$2,705,229","$1,333,280","$6,031,361","888,958","$2,141,110","$1,431,752","$5,638,786","888,958","$2,961,437","$1,518,775","$6,637,120","890,414","$3,642,595","$2,242,594","$8,128,788"
